seq,date,year,status,signature,has_rodo_violation,resolution,violation,violated_requirement,fine,rodo_articles,file
11,2018-11-22,2018,PRAWOMOCNA,ZSOŚS.440.115.2018,0,umarza postępowanie,brak stwierdzenia naruszenia,,,,by-year/2018/2018-11-22__PRAWOMOCNA__ZSOSS.440.115.2018.txt
12,2019-01-14,2019,PRAWOMOCNA,ZSOŚS.440.120.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-01-14__PRAWOMOCNA__ZSOSS.440.120.2018.txt
13,2018-11-21,2018,PRAWOMOCNA,ZSOŚS.440.121.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2018/2018-11-21__PRAWOMOCNA__ZSOSS.440.121.2018.txt
14,2018-12-18,2018,PRAWOMOCNA,ZSOŚS.440.124.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2018/2018-12-18__PRAWOMOCNA__ZSOSS.440.124.2018.txt
15,2019-04-03,2019,PRAWOMOCNA,ZSOŚS.440.125.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-04-03__PRAWOMOCNA__ZSOSS.440.125.2018.txt
16,2018-12-13,2018,PRAWOMOCNA,ZSOŚS.440.126.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2018/2018-12-13__PRAWOMOCNA__ZSOSS.440.126.2018.txt
17,2019-04-23,2019,PRAWOMOCNA,ZSOŚS.440.129.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-04-23__PRAWOMOCNA__ZSOSS.440.129.2018.txt
18,2018-07-13,2018,NIEPRAWOMOCNA,ZSOŚS.440.13.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2018/2018-07-13__NIEPRAWOMOCNA__ZSOSS.440.13.2018.txt
19,2019-09-03,2019,PRAWOMOCNA,ZSOŚS.440.131.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-09-03__PRAWOMOCNA__ZSOSS.440.131.2018.txt
20,2019-02-01,2019,PRAWOMOCNA,ZSOŚS.440.133.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-02-01__PRAWOMOCNA__ZSOSS.440.133.2018.txt
21,2018-11-26,2018,PRAWOMOCNA,ZSOŚS.440.135.2018,0,utrzymuję w mocy zaskarżoną decyzję,brak stwierdzenia naruszenia,,,,by-year/2018/2018-11-26__PRAWOMOCNA__ZSOSS.440.135.2018.txt
22,2019-07-02,2019,PRAWOMOCNA,ZSOŚS.440.136.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-07-02__PRAWOMOCNA__ZSOSS.440.136.2018.txt
23,2019-09-03,2019,PRAWOMOCNA,ZSOŚS.440.137.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-09-03__PRAWOMOCNA__ZSOSS.440.137.2018.txt
24,2019-01-30,2019,PRAWOMOCNA,ZSOŚS.440.138.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-01-30__PRAWOMOCNA__ZSOSS.440.138.2018.txt
25,2018-11-22,2018,PRAWOMOCNA,ZSOŚS.440.140.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2018/2018-11-22__PRAWOMOCNA__ZSOSS.440.140.2018.txt
26,2019-01-21,2019,PRAWOMOCNA,ZSOŚS.440.144.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-01-21__PRAWOMOCNA__ZSOSS.440.144.2018.txt
27,2019-08-09,2019,PRAWOMOCNA,ZSOŚS.440.146.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-08-09__PRAWOMOCNA__ZSOSS.440.146.2018.txt
28,2019-03-06,2019,PRAWOMOCNA,ZSOŚS.440.147.2018,0,umarza postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-03-06__PRAWOMOCNA__ZSOSS.440.147.2018.txt
29,2018-12-20,2018,PRAWOMOCNA,ZSOŚS.440.148.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2018/2018-12-20__PRAWOMOCNA__ZSOSS.440.148.2018.txt
30,2019-09-27,2019,PRAWOMOCNA,ZSOŚS.440.149.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-09-27__PRAWOMOCNA__ZSOSS.440.149.2018.txt
31,2019-05-20,2019,PRAWOMOCNA,ZSOŚS.440.153.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-05-20__PRAWOMOCNA__ZSOSS.440.153.2018.txt
32,2019-05-28,2019,PRAWOMOCNA,ZSOŚS.440.154.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-05-28__PRAWOMOCNA__ZSOSS.440.154.2018.txt
33,2019-02-15,2019,PRAWOMOCNA,ZSOŚS.440.155.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,art.4pkt1;art.6,by-year/2019/2019-02-15__PRAWOMOCNA__ZSOSS.440.155.2018.txt
34,2019-04-05,2019,PRAWOMOCNA,ZSOŚS.440.156.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-04-05__PRAWOMOCNA__ZSOSS.440.156.2018.txt
35,2019-08-09,2019,PRAWOMOCNA,ZSOŚS.440.157.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,art.4pkt11;art.6ust.1;art.6ust.1lit.a;art.6ust.1lit.f;art.5ust.1lit.c;art.58,by-year/2019/2019-08-09__PRAWOMOCNA__ZSOSS.440.157.2018.txt
36,2019-06-25,2019,PRAWOMOCNA,ZSOŚS.440.159.2018,0,2. W pozostałym zakresie umarzam postępowanie.,brak stwierdzenia naruszenia,,,,by-year/2019/2019-06-25__PRAWOMOCNA__ZSOSS.440.159.2018.txt
37,2018-09-28,2018,PRAWOMOCNA,ZSOŚS.440.17.2018,0,umarza postępowanie,brak stwierdzenia naruszenia,,,,by-year/2018/2018-09-28__PRAWOMOCNA__ZSOSS.440.17.2018.txt
38,2019-04-17,2019,PRAWOMOCNA,ZSOŚS.440.19.2018,0,"utrzymuję w mocy zaskarżoną decyzję z 22 listopada 2018 r.,",brak stwierdzenia naruszenia,,,,by-year/2019/2019-04-17__PRAWOMOCNA__ZSOSS.440.19.2018.txt
39,2019-01-07,2019,PRAWOMOCNA,ZSOŚS.440.22.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-01-07__PRAWOMOCNA__ZSOSS.440.22.2018.txt
40,2018-12-17,2018,PRAWOMOCNA,ZSOŚS.440.23.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2018/2018-12-17__PRAWOMOCNA__ZSOSS.440.23.2018.txt
41,2019-06-14,2019,PRAWOMOCNA,ZSOŚS.440.24.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-06-14__PRAWOMOCNA__ZSOSS.440.24.2018.txt
42,2018-09-04,2018,PRAWOMOCNA,ZSOŚS.440.26.2018.I,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2018/2018-09-04__PRAWOMOCNA__ZSOSS.440.26.2018.I.txt
43,2019-01-04,2019,PRAWOMOCNA,ZSOŚS.440.26.2018.II,0,utrzymuję w mocy zaskarżoną decyzję,brak stwierdzenia naruszenia,,,,by-year/2019/2019-01-04__PRAWOMOCNA__ZSOSS.440.26.2018.II.txt
44,2019-04-01,2019,PRAWOMOCNA,ZSOŚS.440.28.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-04-01__PRAWOMOCNA__ZSOSS.440.28.2018.txt
45,2019-05-31,2019,PRAWOMOCNA,ZSOŚS.440.29.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-05-31__PRAWOMOCNA__ZSOSS.440.29.2018.txt
46,2019-08-29,2019,PRAWOMOCNA,ZSOŚS.440.30.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-08-29__PRAWOMOCNA__ZSOSS.440.30.2018.txt
47,2019-09-06,2019,PRAWOMOCNA,ZSOŚS.440.37.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-09-06__PRAWOMOCNA__ZSOSS.440.37.2018.txt
48,2019-07-24,2019,PRAWOMOCNA,ZSOŚS.440.39.2018.I,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-07-24__PRAWOMOCNA__ZSOSS.440.39.2018.I.txt
49,2019-07-24,2019,PRAWOMOCNA,ZSOŚS.440.39.2018.II,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-07-24__PRAWOMOCNA__ZSOSS.440.39.2018.II.txt
50,2018-11-15,2018,PRAWOMOCNA,ZSOŚS.440.40.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2018/2018-11-15__PRAWOMOCNA__ZSOSS.440.40.2018.txt
51,2019-01-30,2019,PRAWOMOCNA,ZSOŚS.440.42.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-01-30__PRAWOMOCNA__ZSOSS.440.42.2018.txt
52,2019-01-14,2019,PRAWOMOCNA,ZSOŚS.440.43.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-01-14__PRAWOMOCNA__ZSOSS.440.43.2018.txt
53,2018-09-14,2018,PRAWOMOCNA,ZSOŚS.440.45.2018,0,umarza postępowanie,brak stwierdzenia naruszenia,,,,by-year/2018/2018-09-14__PRAWOMOCNA__ZSOSS.440.45.2018.txt
54,2019-05-28,2019,PRAWOMOCNA,ZSOŚS.440.49.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-05-28__PRAWOMOCNA__ZSOSS.440.49.2018.txt
55,2019-07-24,2019,PRAWOMOCNA,ZSOŚS.440.49.2018.II,0,utrzymuję w mocy zaskarżoną decyzję,brak stwierdzenia naruszenia,,,,by-year/2019/2019-07-24__PRAWOMOCNA__ZSOSS.440.49.2018.II.txt
56,2018-11-15,2018,PRAWOMOCNA,ZSOŚS.440.5.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2018/2018-11-15__PRAWOMOCNA__ZSOSS.440.5.2018.txt
57,2018-12-17,2018,PRAWOMOCNA,ZSOŚS.440.51.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2018/2018-12-17__PRAWOMOCNA__ZSOSS.440.51.2018.txt
58,2019-03-11,2019,PRAWOMOCNA,ZSOŚS.440.52.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-03-11__PRAWOMOCNA__ZSOSS.440.52.2018.txt
59,2018-11-22,2018,PRAWOMOCNA,ZSOŚS.440.53.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2018/2018-11-22__PRAWOMOCNA__ZSOSS.440.53.2018.txt
60,2018-09-18,2018,PRAWOMOCNA,ZSOŚS.440.54.2018,0,umarza postępowanie,brak stwierdzenia naruszenia,,,,by-year/2018/2018-09-18__PRAWOMOCNA__ZSOSS.440.54.2018.txt
61,2018-10-18,2018,PRAWOMOCNA,ZSOŚS.440.57.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2018/2018-10-18__PRAWOMOCNA__ZSOSS.440.57.2018.txt
62,2018-11-15,2018,PRAWOMOCNA,ZSOŚS.440.58.2018,0,odmawia uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2018/2018-11-15__PRAWOMOCNA__ZSOSS.440.58.2018.txt
63,2018-10-11,2018,PRAWOMOCNA,ZSOŚS.440.60.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2018/2018-10-11__PRAWOMOCNA__ZSOSS.440.60.2018.txt
64,2019-03-19,2019,PRAWOMOCNA,ZSOŚS.440.61.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-03-19__PRAWOMOCNA__ZSOSS.440.61.2018.txt
65,2018-10-26,2018,PRAWOMOCNA,ZSOŚS.440.62.2018,0,umarza postępowanie,brak stwierdzenia naruszenia,,,,by-year/2018/2018-10-26__PRAWOMOCNA__ZSOSS.440.62.2018.txt
66,2019-02-15,2019,PRAWOMOCNA,ZSOŚS.440.68.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-02-15__PRAWOMOCNA__ZSOSS.440.68.2018.txt
67,2018-12-18,2018,PRAWOMOCNA,ZSOŚS.440.69.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2018/2018-12-18__PRAWOMOCNA__ZSOSS.440.69.2018.txt
68,2019-05-16,2019,PRAWOMOCNA,ZSOŚS.440.72.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-05-16__PRAWOMOCNA__ZSOSS.440.72.2018.txt
69,2019-05-21,2019,PRAWOMOCNA,ZSOŚS.440.73.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-05-21__PRAWOMOCNA__ZSOSS.440.73.2018.txt
70,2018-11-21,2018,PRAWOMOCNA,ZSOŚS.440.75.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2018/2018-11-21__PRAWOMOCNA__ZSOSS.440.75.2018.txt
71,2018-10-23,2018,PRAWOMOCNA,ZSOŚS.440.76.2018,0,utrzymuje w mocy zaskarżoną decyzję,brak stwierdzenia naruszenia,,,,by-year/2018/2018-10-23__PRAWOMOCNA__ZSOSS.440.76.2018.txt
72,2018-09-25,2018,PRAWOMOCNA,ZSOŚS.440.77.2018.II,0,utrzymuje w mocy zaskarżoną decyzję,brak stwierdzenia naruszenia,,,,by-year/2018/2018-09-25__PRAWOMOCNA__ZSOSS.440.77.2018.II.txt
73,2019-03-05,2019,NIEPRAWOMOCNA,ZSOŚS.440.8.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-03-05__NIEPRAWOMOCNA__ZSOSS.440.8.2018.txt
74,2018-09-24,2018,PRAWOMOCNA,ZSOŚS.440.80.2018,0,umarza postępowanie,brak stwierdzenia naruszenia,,,,by-year/2018/2018-09-24__PRAWOMOCNA__ZSOSS.440.80.2018.txt
75,2019-06-18,2019,PRAWOMOCNA,ZSOŚS.440.81.2018,0,nakazuję Dyrektorowi Zakładu Karnego w J. (ul. (…)) udostępnienie Dyrektorowi Ośrodka,brak stwierdzenia naruszenia,,,,by-year/2019/2019-06-18__PRAWOMOCNA__ZSOSS.440.81.2018.txt
76,2019-03-14,2019,PRAWOMOCNA,ZSOŚS.440.84.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-03-14__PRAWOMOCNA__ZSOSS.440.84.2018.txt
77,2019-07-08,2019,PRAWOMOCNA,ZSOŚS.440.88.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-07-08__PRAWOMOCNA__ZSOSS.440.88.2018.txt
78,2018-08-24,2018,PRAWOMOCNA,ZSOŚS.440.9.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2018/2018-08-24__PRAWOMOCNA__ZSOSS.440.9.2018.txt
79,2019-02-12,2019,PRAWOMOCNA,ZSOŚS.440.90.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-02-12__PRAWOMOCNA__ZSOSS.440.90.2018.txt
80,2018-12-11,2018,PRAWOMOCNA,ZSOŚS.440.92.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2018/2018-12-11__PRAWOMOCNA__ZSOSS.440.92.2018.txt
81,2019-02-20,2019,PRAWOMOCNA,ZSOŚS.440.93.2018,0,"utrzymuję w mocy zaskarżoną decyzję z (…) marca 2018 r., sygn. (…)",brak stwierdzenia naruszenia,,,,by-year/2019/2019-02-20__PRAWOMOCNA__ZSOSS.440.93.2018.txt
82,2019-02-21,2019,PRAWOMOCNA,ZSOŚS.440.94.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-02-21__PRAWOMOCNA__ZSOSS.440.94.2018.txt
83,2019-02-05,2019,PRAWOMOCNA,ZSOŚS.440.95.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-02-05__PRAWOMOCNA__ZSOSS.440.95.2018.txt
84,2019-03-21,2019,PRAWOMOCNA,ZSOŚS.440.96.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-03-21__PRAWOMOCNA__ZSOSS.440.96.2018.txt
85,2019-03-15,2019,PRAWOMOCNA,ZSPR.421.3.2018,1,"nakłada na X. Sp. z o.o., za naruszenie stwierdzone w niniejszej decyzji, administra-",stwierdzając naruszenie przez X,obowiązek informacyjny przy pozyskiwaniu danych z innych źródeł (art. 14 RODO),,art.14;art.14ust.1;art.14ust.5lit.b;art.57ust.1;art.57;art.14ust.2;art.12ust.1;art.58ust.2lit.i;art.83ust.2;art.83ust.2lit.a;art.5ust.1lita;art.15;art.25;art.58ust.2;art.42;art.14ust1;art.83;art.83ust.5litb;art.83ust.1;art.83ust.5lit.b,by-year/2019/2019-03-15__PRAWOMOCNA__ZSPR.421.3.2018.txt
86,2019-06-26,2019,PRAWOMOCNA,ZSPR.440.1026.2018,0,"nakazuje Panu K.Ch., prowadzącemu działalność gospodarczą pod firmą (…) z siedzibą w",brak stwierdzenia naruszenia,,,art.6ust.1lit.f;art.6ust.1lit.c;art.6lit.c;art.6lit.f;art.4,by-year/2019/2019-06-26__PRAWOMOCNA__ZSPR.440.1026.2018.txt
87,2019-03-11,2019,PRAWOMOCNA,ZSPR.440.1052.2018,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6ust.1lit.c;art.6ust1lit.c,by-year/2019/2019-03-11__PRAWOMOCNA__ZSPR.440.1052.2018.txt
88,2019-07-24,2019,PRAWOMOCNA,ZSPR.440.1552.2018,0,utrzymuję w mocy zaskarżoną decyzję.,brak stwierdzenia naruszenia,,,art.58ust.2lit.g,by-year/2019/2019-07-24__PRAWOMOCNA__ZSPR.440.1552.2018.txt
89,2018-12-12,2018,PRAWOMOCNA,ZSPR.440.195.2018,0,"nakazuje Bankowi S.A., zaprzestania przetwarzania danych osobowych Pana T. W., doty-",brak stwierdzenia naruszenia,,,art.1ust1;art.6ust.1;art.4pkt2;art.6ust.1lit.a;art.6ust.1lit.c,by-year/2018/2018-12-12__PRAWOMOCNA__ZSPR.440.195.2018.txt
90,2022-02-22,2022,PRAWOMOCNA,ZSPR.440.280.2018,1,"udziela upomnienia (…) S.A. z siedzibą w A. przy ul. (…), za naruszenie art. 6 ust. 1 roz-",udziela upomnienia (…) S,podstawa prawna przetwarzania (art. 6 RODO),,art.58ust.2;art.6ust.1;art.6ust.1lit.f;art.5ust.1;art.5ust.1lit.e;art.6ust.1lit.b;art.58ust.2lit.b,by-year/2022/2022-02-22__PRAWOMOCNA__ZSPR.440.280.2018.txt
91,2019-05-07,2019,PRAWOMOCNA,ZSPR.440.301.2018,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,,by-year/2019/2019-05-07__PRAWOMOCNA__ZSPR.440.301.2018.txt
92,2018-12-20,2018,PRAWOMOCNA,ZSPR.440.370.2018,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6ust.1lit.f,by-year/2018/2018-12-20__PRAWOMOCNA__ZSPR.440.370.2018.txt
93,2019-01-04,2019,PRAWOMOCNA,ZSPR.440.631.2018,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.1ust.1;art.2ust.1;art.4pkt2;art.4;art.6;art.6ust.1lit.c;art.6ust.1lit.f;art.28ust.3;art.5ust.1lit.c;art.58,by-year/2019/2019-01-04__PRAWOMOCNA__ZSPR.440.631.2018.txt
94,2018-12-10,2018,PRAWOMOCNA,ZSPR.440.783.2018,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,,by-year/2018/2018-12-10__PRAWOMOCNA__ZSPR.440.783.2018.txt
95,2018-12-21,2018,PRAWOMOCNA,ZSPR.440.854.2018,0,2) W pozostałym zakresie odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6ust.1lit.c,by-year/2018/2018-12-21__PRAWOMOCNA__ZSPR.440.854.2018.txt
96,2018-12-14,2018,PRAWOMOCNA,ZSPR.440.913.2018,0,nakazuje P. S.A. z siedzibą w (…) spełnienie obowiązku informacyjnego wobec Pana P. S.,brak stwierdzenia naruszenia,,,art.15ust.1;art.15;art.12,by-year/2018/2018-12-14__PRAWOMOCNA__ZSPR.440.913.2018.txt
97,2019-01-18,2019,PRAWOMOCNA,ZSPR.440.998.2018,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6ust.1lit.f;art.21ust.1;art.19;art.21ust1;art.6;art.6ust1;Art.6ust.1litf;art.6ust.1lit.c;art.18ust.1lit.d;art.6ust.1lit.e,by-year/2019/2019-01-18__PRAWOMOCNA__ZSPR.440.998.2018.txt
98,2019-01-25,2019,PRAWOMOCNA,ZSPU.421.1.2018,0,umarzam postępowanie w niniejszej sprawie.,brak stwierdzenia naruszenia,,,,by-year/2019/2019-01-25__PRAWOMOCNA__ZSPU.421.1.2018.txt
99,2019-04-06,2019,PRAWOMOCNA,ZSPU.421.2.2018,0,Nakazuje Prezydentowi Miasta W. usunięcie uchybień w procesie przetwarzania,brak stwierdzenia naruszenia,,,,by-year/2019/2019-04-06__PRAWOMOCNA__ZSPU.421.2.2018.txt
100,2019-04-03,2019,NIEPRAWOMOCNA,ZSPU.421.8.2018,0,Nakazuje Burmistrzowi W. usunięcie uchybień w procesie przetwarzania danych,brak stwierdzenia naruszenia,,,,by-year/2019/2019-04-03__NIEPRAWOMOCNA__ZSPU.421.8.2018.txt
101,2019-04-17,2019,PRAWOMOCNA,ZSPU.440.121.2018,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.5ust.1lit.a;Art.6;art.6ust.1lit.c,by-year/2019/2019-04-17__PRAWOMOCNA__ZSPU.440.121.2018.txt
102,2019-06-18,2019,PRAWOMOCNA,ZSPU.440.339.2018,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.5ust.1lit.a;Art.6;art.6ust.1lit.c,by-year/2019/2019-06-18__PRAWOMOCNA__ZSPU.440.339.2018.txt
103,2018-10-22,2018,PRAWOMOCNA,ZSPU.440.379.2018,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6ust.1;art.6ust.1lit.c;art.5ust.1lit.c,by-year/2018/2018-10-22__PRAWOMOCNA__ZSPU.440.379.2018.txt
104,2019-05-15,2019,PRAWOMOCNA,ZSPU.440.423.2018,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.5ust.1;art.6ust.1;art.6ust.4;art.6ust.1litf,by-year/2019/2019-05-15__PRAWOMOCNA__ZSPU.440.423.2018.txt
105,2019-04-18,2019,PRAWOMOCNA,ZSPU.440.435.2018,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.5ust.1;art.6ust.1;art.6ust.1lite,by-year/2019/2019-04-18__PRAWOMOCNA__ZSPU.440.435.2018.txt
106,2019-04-25,2019,PRAWOMOCNA,ZSPU.440.469.2018,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6ust.1;art.28;art.4ust.1pkt7;art.4ust.1pkt8;art.6ust.1litf,by-year/2019/2019-04-25__PRAWOMOCNA__ZSPU.440.469.2018.txt
107,2019-04-10,2019,NIEPRAWOMOCNA,ZSPU.440.489.2018,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,,by-year/2019/2019-04-10__NIEPRAWOMOCNA__ZSPU.440.489.2018.txt
108,2019-04-12,2019,NIEPRAWOMOCNA,ZSPU.440.512.2018,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6;art.5;art.5ust.1litd;art.6ust.1lit.c;art.5litd,by-year/2019/2019-04-12__NIEPRAWOMOCNA__ZSPU.440.512.2018.txt
