seq,date,status,signature,resolution,violation,violated_requirement,fine,rodo_articles,summary
146,2019-04-10,PRAWOMOCNA,ZWAD.405.1981.2018,umarza w całości postępowanie w niniejszej sprawie.,,zgłoszenie naruszenia do UODO (art. 33 RODO),,art.33ust.3;art.34ust.2;art.58ust.2lit.e,"ZWAD.405.1981.2018 — 2019-04-10 — PRAWOMOCNA: umarza w całości postępowanie w niniejszej sprawie.. Naruszony wymóg: zgłoszenie naruszenia do UODO (art. 33 RODO). Artykuły RODO (wykryte): art.33ust.3, art.34ust.2, art.58ust.2lit.e."
147,2018-11-20,NIEPRAWOMOCNA,ZWAD.405.22.2018,"nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-",,zawiadomienie osób o naruszeniu (art. 34 RODO),,art.34ust.2;art.34ust.3lit.b;art.34ust.4;art.34ust.1;art.58ust.2lit.e;art.34;art.33ust.3lit.b;art.33lit.c;art.34ust.3;art.33ust3lit.c;art.33ust3lit.d;art.5ust.1lit.a;art.33ust.3lit.c,"ZWAD.405.22.2018 — 2018-11-20 — NIEPRAWOMOCNA: nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-. Naruszony wymóg: zawiadomienie osób o naruszeniu (art. 34 RODO). Artykuły RODO (wykryte): art.34ust.2, art.34ust.3lit.b, art.34ust.4, art.34ust.1, art.58ust.2lit.e, art.34, art.33ust.3lit.b, art.33lit.c, art.34ust.3, art.33ust3lit.c, art.33ust3lit.d, art.5ust.1lit.a, art.33ust.3lit.c."
148,2018-11-20,NIEPRAWOMOCNA,ZWAD.405.23.2018,"nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-",,zawiadomienie osób o naruszeniu (art. 34 RODO),,art.34ust.2;art.34ust.3lit.b;art.34ust.4;art.34ust.1;art.58ust.2lit.e;art.34;art.33ust.3lit.b;art.33lit.c;art.34ust.3;art.33ust3lit.c;art.33ust3lit.d;art.5ust.1lit.a;art.33ust.3lit.c,"ZWAD.405.23.2018 — 2018-11-20 — NIEPRAWOMOCNA: nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-. Naruszony wymóg: zawiadomienie osób o naruszeniu (art. 34 RODO). Artykuły RODO (wykryte): art.34ust.2, art.34ust.3lit.b, art.34ust.4, art.34ust.1, art.58ust.2lit.e, art.34, art.33ust.3lit.b, art.33lit.c, art.34ust.3, art.33ust3lit.c, art.33ust3lit.d, art.5ust.1lit.a, art.33ust.3lit.c."
149,2018-11-20,NIEPRAWOMOCNA,ZWAD.405.25.2018,"nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-",,zawiadomienie osób o naruszeniu (art. 34 RODO),,art.34ust.2;art.34ust.3lit.b;art.34ust.4;art.34ust.1;art.58ust.2lit.e;art.34;art.33ust.3lit.b;art.33lit.c;art.34ust.3;art.33ust3lit.c;art.33ust3lit.d;art.5ust.1lit.a;art.33ust.3lit.c,"ZWAD.405.25.2018 — 2018-11-20 — NIEPRAWOMOCNA: nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-. Naruszony wymóg: zawiadomienie osób o naruszeniu (art. 34 RODO). Artykuły RODO (wykryte): art.34ust.2, art.34ust.3lit.b, art.34ust.4, art.34ust.1, art.58ust.2lit.e, art.34, art.33ust.3lit.b, art.33lit.c, art.34ust.3, art.33ust3lit.c, art.33ust3lit.d, art.5ust.1lit.a, art.33ust.3lit.c."
150,2018-11-20,NIEPRAWOMOCNA,ZWAD.405.26.2018,"nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-",,zawiadomienie osób o naruszeniu (art. 34 RODO),,art.34ust.2;art.34ust.3lit.b;art.34ust.4;art.34ust.1;art.58ust.2lit.e;art.34;art.33ust.3lit.b;art.33lit.c;art.34ust.3;art.33ust3lit.c;art.33ust3lit.d;art.5ust.1lit.a;art.33ust.3lit.c,"ZWAD.405.26.2018 — 2018-11-20 — NIEPRAWOMOCNA: nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-. Naruszony wymóg: zawiadomienie osób o naruszeniu (art. 34 RODO). Artykuły RODO (wykryte): art.34ust.2, art.34ust.3lit.b, art.34ust.4, art.34ust.1, art.58ust.2lit.e, art.34, art.33ust.3lit.b, art.33lit.c, art.34ust.3, art.33ust3lit.c, art.33ust3lit.d, art.5ust.1lit.a, art.33ust.3lit.c."
151,2018-11-20,NIEPRAWOMOCNA,ZWAD.405.27.2018,"nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-",,zawiadomienie osób o naruszeniu (art. 34 RODO),,art.34ust.2;art.34ust.3lit.b;art.34ust.4;art.34ust.1;art.58ust.2lit.e;art.34;art.33ust.3lit.b;art.33lit.c;art.34ust.3;art.33ust3lit.c;art.33ust3lit.d;art.5ust.1lit.a;art.33ust.3lit.c,"ZWAD.405.27.2018 — 2018-11-20 — NIEPRAWOMOCNA: nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-. Naruszony wymóg: zawiadomienie osób o naruszeniu (art. 34 RODO). Artykuły RODO (wykryte): art.34ust.2, art.34ust.3lit.b, art.34ust.4, art.34ust.1, art.58ust.2lit.e, art.34, art.33ust.3lit.b, art.33lit.c, art.34ust.3, art.33ust3lit.c, art.33ust3lit.d, art.5ust.1lit.a, art.33ust.3lit.c."
152,2018-11-20,NIEPRAWOMOCNA,ZWAD.405.28.2018,"nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-",,zawiadomienie osób o naruszeniu (art. 34 RODO),,art.34ust.2;art.34ust.3lit.b;art.34ust.4;art.34ust.1;art.58ust.2lit.e;art.34;art.33ust.3lit.b;art.33lit.c;art.34ust.3;art.33ust3lit.c;art.33ust3lit.d;art.5ust.1lit.a;art.33ust.3lit.c,"ZWAD.405.28.2018 — 2018-11-20 — NIEPRAWOMOCNA: nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-. Naruszony wymóg: zawiadomienie osób o naruszeniu (art. 34 RODO). Artykuły RODO (wykryte): art.34ust.2, art.34ust.3lit.b, art.34ust.4, art.34ust.1, art.58ust.2lit.e, art.34, art.33ust.3lit.b, art.33lit.c, art.34ust.3, art.33ust3lit.c, art.33ust3lit.d, art.5ust.1lit.a, art.33ust.3lit.c."
153,2018-11-20,NIEPRAWOMOCNA,ZWAD.405.29.2018,"nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-",,zawiadomienie osób o naruszeniu (art. 34 RODO),,art.34ust.2;art.34ust.3lit.b;art.34ust.4;art.34ust.1;art.58ust.2lit.e;art.34;art.33ust.3lit.b;art.33lit.c;art.34ust.3;art.33ust3lit.c;art.33ust3lit.d;art.5ust.1lit.a;art.33ust.3lit.c,"ZWAD.405.29.2018 — 2018-11-20 — NIEPRAWOMOCNA: nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-. Naruszony wymóg: zawiadomienie osób o naruszeniu (art. 34 RODO). Artykuły RODO (wykryte): art.34ust.2, art.34ust.3lit.b, art.34ust.4, art.34ust.1, art.58ust.2lit.e, art.34, art.33ust.3lit.b, art.33lit.c, art.34ust.3, art.33ust3lit.c, art.33ust3lit.d, art.5ust.1lit.a, art.33ust.3lit.c."
154,2019-03-11,NIEPRAWOMOCNA,ZWAD.405.85.2018,umarza w całości postępowanie w niniejszej sprawie.,,zawiadomienie osób o naruszeniu (art. 34 RODO),,art.34ust.2;art.34ust.4;art.58ust.2lit.e;art.34,"ZWAD.405.85.2018 — 2019-03-11 — NIEPRAWOMOCNA: umarza w całości postępowanie w niniejszej sprawie.. Naruszony wymóg: zawiadomienie osób o naruszeniu (art. 34 RODO). Artykuły RODO (wykryte): art.34ust.2, art.34ust.4, art.58ust.2lit.e, art.34."
155,2018-12-20,NIEPRAWOMOCNA,ZWAD.405.88.2018,"nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-",,zawiadomienie osób o naruszeniu (art. 34 RODO),,art.34ust.2;art.34ust.3lit.b;art.34ust.4;art.34ust.1;art.58ust.2lit.e;art.34;art.33ust.3lit.b;art.33lit.c;art.34ust.3;art.33ust3lit.c;art.33ust3lit.d;art.5ust.1lit.a;art.33ust.3lit.c,"ZWAD.405.88.2018 — 2018-12-20 — NIEPRAWOMOCNA: nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-. Naruszony wymóg: zawiadomienie osób o naruszeniu (art. 34 RODO). Artykuły RODO (wykryte): art.34ust.2, art.34ust.3lit.b, art.34ust.4, art.34ust.1, art.58ust.2lit.e, art.34, art.33ust.3lit.b, art.33lit.c, art.34ust.3, art.33ust3lit.c, art.33ust3lit.d, art.5ust.1lit.a, art.33ust.3lit.c."
156,2018-11-20,NIEPRAWOMOCNA,ZWAD.405.9.2018,"nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-",,zawiadomienie osób o naruszeniu (art. 34 RODO),,art.34ust.2;art.34ust.3lit.b;art.34ust.4;art.34ust.1;art.58ust.2lit.e;art.34;art.33ust.3lit.b;art.33lit.c;art.34ust.3;art.33ust3lit.c;art.33ust3lit.d;art.5ust.1lit.a;art.33ust.3lit.c,"ZWAD.405.9.2018 — 2018-11-20 — NIEPRAWOMOCNA: nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-. Naruszony wymóg: zawiadomienie osób o naruszeniu (art. 34 RODO). Artykuły RODO (wykryte): art.34ust.2, art.34ust.3lit.b, art.34ust.4, art.34ust.1, art.58ust.2lit.e, art.34, art.33ust.3lit.b, art.33lit.c, art.34ust.3, art.33ust3lit.c, art.33ust3lit.d, art.5ust.1lit.a, art.33ust.3lit.c."
237,2020-08-21,PRAWOMOCNA,ZSOŚS.421.25.2019,"nakłada na Y. w B., karę pieniężną w wysokości 50.000 (pięćdziesięciu tysięcy)",1) stwierdzając naruszenie przez Y,zasady przetwarzania danych (art. 5 RODO),50000 zl,art.38ust.1;art.5ust.2;art.39ust.2;art.30ust.1lit.d;art.30;art.33ust3;art.33ust.5;art.32ust.2;art.32;art.33ust.3;art.34;art.33;art.24;art.5ust.1lit.e;art.24ust.1;Art.5;art.5ust.1lit.f;art.32ust.1;art.32ust2;art.24ust.2;art.30ust.1;art.24ust1;art.39ust.1lit.b;art.38;art.25ust.1;art.37ust.1lit.a;art.37ust.6;art.39ust.1;art.39;art.83ust.4lit.a;art.4pkt9;art.99;art.83;art.83ust.2lit.a;art.42;art.58ust.2;art.83ust.1,"ZSOŚS.421.25.2019 — 2020-08-21 — PRAWOMOCNA: nakłada na Y. w B., karę pieniężną w wysokości 50.000 (pięćdziesięciu tysięcy). Naruszenie: 1) stwierdzając naruszenie przez Y. Naruszony wymóg: zasady przetwarzania danych (art. 5 RODO). Kara: 50000 zl. Artykuły RODO (wykryte): art.38ust.1, art.5ust.2, art.39ust.2, art.30ust.1lit.d, art.30, art.33ust3, art.33ust.5, art.32ust.2, art.32, art.33ust.3, art.34, art.33, art.24, art.5ust.1lit.e, art.24ust.1, Art.5, art.5ust.1lit.f, art.32ust.1, art.32ust2, art.24ust.2, art.30ust.1, art.24ust1, art.39ust.1lit.b, art.38, art.25ust.1, art.37ust.1lit.a, art.37ust.6, art.39ust.1, art.39, art.83ust.4lit.a, art.4pkt9, art.99, art.83, art.83ust.2lit.a, art.42, art.58ust.2, art.83ust.1."
271,2024-01-17,NIEPRAWOMOCNA,ZSPR.421.2.2019 ZSPR.405.67.2019,"nakłada na V. sp. z o. o. z siedzibą w S. za naruszenie art. 5 ust. 1 lit. f), art. 5",stwierdzając naruszenie przez V,odpowiedzialność administratora (art. 24 RODO),,art.5ust.2;art.5ust.1lit.f;art.32ust.2;art.6ust.1;art.83ust.2;art.58ust.2lit.i;art.83ust.5lit.a;art.78ust.1;art.25ust.1;art.5;art.83ust.1;art.32ust1;art.32ust.1;art.24ust.1;art.32ust.1lit.b;art.32ust.1lit.d;art.32ust1lit.d;art.33ust.5;art.5ust.1;art.83ust.4lit.a;Art.83ust.3;art.83ust.2lit.a;Art.82ust.1;art.83ust.2lit.b;art.83ust.2lit.c;art.83ust.2lit.d;art.25;art.32;art.83ust.2lit.e;art.83ust.2lit.f;art.83ust.2lit.g;art.9ust.1;art.10;art.83ust.2lit.h;art.83ust.2lit.i;art.83ust.2lit.j;art.83ust.2lit.k;art.58ust2;art.83ust.4;art.83;art.58ust.2,"ZSPR.421.2.2019 ZSPR.405.67.2019 — 2024-01-17 — NIEPRAWOMOCNA: nakłada na V. sp. z o. o. z siedzibą w S. za naruszenie art. 5 ust. 1 lit. f), art. 5. Naruszenie: stwierdzając naruszenie przez V. Naruszony wymóg: odpowiedzialność administratora (art. 24 RODO). Artykuły RODO (wykryte): art.5ust.2, art.5ust.1lit.f, art.32ust.2, art.6ust.1, art.83ust.2, art.58ust.2lit.i, art.83ust.5lit.a, art.78ust.1, art.25ust.1, art.5, art.83ust.1, art.32ust1, art.32ust.1, art.24ust.1, art.32ust.1lit.b, art.32ust.1lit.d, art.32ust1lit.d, art.33ust.5, art.5ust.1, art.83ust.4lit.a, Art.83ust.3, art.83ust.2lit.a, Art.82ust.1, art.83ust.2lit.b, art.83ust.2lit.c, art.83ust.2lit.d, art.25, art.32, art.83ust.2lit.e, art.83ust.2lit.f, art.83ust.2lit.g, art.9ust.1, art.10, art.83ust.2lit.h, art.83ust.2lit.i, art.83ust.2lit.j, art.83ust.2lit.k, art.58ust2, art.83ust.4, art.83, art.58ust.2."
272,2020-03-09,PRAWOMOCNA,ZSPR.421.19.2019,nakłada na V. Sp. z o.o. w likwidacji z siedzibą w Z. przy ul. (…) karę pieniężną w kwocie,stwierdzając naruszenie przez V,współpraca z organem nadzorczym (art. 31 RODO),,art.57ust.1lit.a;art.58ust.1lit.e;art.58ust.6;art.31;art.58ust.1lit.f;art.57;art.58;art.83ust.2;art.83;art.83ust.2lit.b;art.83ust.2lit.k;art.83ust.1;art.83ust.3;art.32ust.2;art.5ust.2;art.6ust.1;art.34;art.24;art.32;art.24ust.1;art.32ust.1;Art.5;art.5ust.1lit.f;art.32ust.1lit.b;art.32ust.1lit.d;art.25ust.1;art.32ust1lit.d;art.5ust.1lit.a;art.6ust.1lit.a;art.4pkt11;art.7ust.1;art.5ust1lit.a;art.83ust.2lit.a;art.42;art.58ust.2;art.6;art.83ust.5lit.a;art.5ust1lit.f,"ZSPR.421.19.2019 — 2020-03-09 — PRAWOMOCNA: nakłada na V. Sp. z o.o. w likwidacji z siedzibą w Z. przy ul. (…) karę pieniężną w kwocie. Naruszenie: stwierdzając naruszenie przez V. Naruszony wymóg: współpraca z organem nadzorczym (art. 31 RODO). Artykuły RODO (wykryte): art.57ust.1lit.a, art.58ust.1lit.e, art.58ust.6, art.31, art.58ust.1lit.f, art.57, art.58, art.83ust.2, art.83, art.83ust.2lit.b, art.83ust.2lit.k, art.83ust.1, art.83ust.3, art.32ust.2, art.5ust.2, art.6ust.1, art.34, art.24, art.32, art.24ust.1, art.32ust.1, Art.5, art.5ust.1lit.f, art.32ust.1lit.b, art.32ust.1lit.d, art.25ust.1, art.32ust1lit.d, art.5ust.1lit.a, art.6ust.1lit.a, art.4pkt11, art.7ust.1, art.5ust1lit.a, art.83ust.2lit.a, art.42, art.58ust.2, art.6, art.83ust.5lit.a, art.5ust1lit.f."
273,2019-10-16,PRAWOMOCNA,ZSPR.421.7.2019,"nakłada na S. Sp. z o.o. z siedzibą w P., karę pieniężną w kwocie 201 559,50 PLN",stwierdzając naruszenie przez S,zasady przetwarzania danych (art. 5 RODO),,art.24ust.1;art.5ust.2;art.6ust.1;art.12ust.1;art.5ust.1lit.a;art.17ust.1lit.b;art.24ust1;art.6ust.1lit.f;art.7ust.3;art.12ust.2;art.58ust2liti;art.83ust.2lit.a;art.6ust.1lit.a;art.42;art.58ust.2;art.83ust.5lit.a;art.83ust.3;art.83;art.83ust.1,"ZSPR.421.7.2019 — 2019-10-16 — PRAWOMOCNA: nakłada na S. Sp. z o.o. z siedzibą w P., karę pieniężną w kwocie 201 559,50 PLN. Naruszenie: stwierdzając naruszenie przez S. Naruszony wymóg: zasady przetwarzania danych (art. 5 RODO). Artykuły RODO (wykryte): art.24ust.1, art.5ust.2, art.6ust.1, art.12ust.1, art.5ust.1lit.a, art.17ust.1lit.b, art.24ust1, art.6ust.1lit.f, art.7ust.3, art.12ust.2, art.58ust2liti, art.83ust.2lit.a, art.6ust.1lit.a, art.42, art.58ust.2, art.83ust.5lit.a, art.83ust.3, art.83, art.83ust.1."
274,2022-07-05,PRAWOMOCNA,ZSPR.440.1055.2019,udziela B. Spółka Akcyjna z siedzibą w W. upomnienia za naruszenie art. 12 ust. 3 w zw.,udziela B,przejrzysta komunikacja i wykonywanie praw (art. 12 RODO),,art.12ust.1;art.12ust.2;art.12ust3;art.17ust.1;art.58ust.2lit.b,"ZSPR.440.1055.2019 — 2022-07-05 — PRAWOMOCNA: udziela B. Spółka Akcyjna z siedzibą w W. upomnienia za naruszenie art. 12 ust. 3 w zw.. Naruszenie: udziela B. Naruszony wymóg: przejrzysta komunikacja i wykonywanie praw (art. 12 RODO). Artykuły RODO (wykryte): art.12ust.1, art.12ust.2, art.12ust3, art.17ust.1, art.58ust.2lit.b."
